X,Y,Z,Success,Deviation
22.198,40.000,-52.740,true,0.000
22.198,90.000,-52.708,true,0.032
22.198,140.000,-52.665,true,0.075
22.198,190.000,-52.592,true,0.148
22.198,240.000,-52.513,true,0.227
22.198,290.000,-52.472,true,0.268
22.198,340.000,-52.408,true,0.332
22.198,390.000,-52.370,true,0.370
82.198,40.000,-52.728,true,0.012
82.198,90.000,-52.697,true,0.043
82.198,140.000,-52.627,true,0.113
82.198,190.000,-52.540,true,0.200
82.198,240.000,-52.460,true,0.280
82.198,290.000,-52.420,true,0.320
82.198,340.000,-52.353,true,0.387
82.198,390.000,-52.340,true,0.400
162.497,40.000,-52.695,true,0.045
162.497,90.000,-52.640,true,0.100
162.497,140.000,-52.603,true,0.137
162.497,190.000,-52.520,true,0.220
162.497,240.000,-52.472,true,0.268
162.497,290.000,-52.455,true,0.285
162.497,340.000,-52.428,true,0.312
162.497,390.000,-52.400,true,0.340
222.497,40.000,-52.647,true,0.093
222.497,90.000,-52.625,true,0.115
222.497,140.000,-52.580,true,0.160
222.497,190.000,-52.513,true,0.227
222.497,240.000,-52.482,true,0.258
222.497,290.000,-52.460,true,0.280
222.497,340.000,-52.428,true,0.312
222.497,390.000,-52.395,true,0.345
302.797,40.000,-52.575,true,0.165
302.797,90.000,-52.540,true,0.200
302.797,140.000,-52.535,true,0.205
302.797,190.000,-52.487,true,0.253
302.797,240.000,-52.480,true,0.260
302.797,290.000,-52.475,true,0.265
302.797,340.000,-52.432,true,0.308
302.797,390.000,-52.400,true,0.340
362.797,40.000,-52.600,true,0.140
362.797,90.000,-52.572,true,0.168
362.797,140.000,-52.557,true,0.183
362.797,190.000,-52.507,true,0.233
362.797,240.000,-52.515,true,0.225
362.797,290.000,-52.520,true,0.220
362.797,340.000,-52.487,true,0.253
362.797,390.000,-52.485,true,0.255
